№,Полное наименование кладбищ,Адрес,Район города,Руководитель,Телефон,Факс,Режим работы,Примечания
53,Казанское кладбище,"196602,
Санкт-Петербург, город Пушкин, Гусарская ул., д.1",ПУШКИНСКИЙ,"ООО «ЭНОЗИС»
196603, Санкт-Петербург,                г. Пушкин, ул.Артиллерийская, д.10.
Директор Николаев Юрий Николаевич
",465-30-60,465-30-60,"Кладбища ежедневно открыты для посещений, захоронений и оформления заказов 
с октября по апрель         с 9 до 17 часов, 
с мая по сентябрь               с 9 до 18 часов.
Выходной день -              1 января.
",общественное кладбище традиционного способа погребения безвозмездно предоставляются участки земли для погребения
54,Кузьминское кладбище,"196605,
Санкт-Петербург, г. Пушкин, Петербургское шоссе",ПУШКИНСКИЙ,"ООО «ЭНОЗИС»
196603, Санкт-Петербург,                г. Пушкин, ул.Артиллерийская, д.10.
Директор Николаев Юрий Николаевич
",465-30-60,465-30-60,"Кладбища ежедневно открыты для посещений, захоронений и оформления заказов 
с октября по апрель         с 9 до 17 часов, 
с мая по сентябрь               с 9 до 18 часов.
Выходной день -              1 января.
",общественное кладбище смешанного способа погребения безвозмездно предоставляются участки земли для погребения
55,Кладбище Московская Славянка,"196626,
Санкт-Петербург, Московская Славянка",ПУШКИНСКИЙ,"ООО «ЭНОЗИС»
196603, Санкт-Петербург,                г. Пушкин, ул.Артиллерийская, д.10.
Директор Николаев Юрий Николаевич
",465-30-60,465-30-60,"Кладбища ежедневно открыты для посещений, захоронений и оформления заказов 
с октября по апрель         с 9 до 17 часов, 
с мая по сентябрь               с 9 до 18 часов.
Выходной день -              1 января.
",военное мемориальное безвозмездно предоставляются участки земли для погребения
56,Павловское кладбище    ,"196621,
Санкт-Петербург, город Павловск, Артиллерийская ул.",ПУШКИНСКИЙ,"ООО «ЭНОЗИС»
196603, Санкт-Петербург,                г. Пушкин, ул.Артиллерийская, д.10.
Директор Николаев Юрий Николаевич
",465-30-60,465-30-60,"Кладбища ежедневно открыты для посещений, захоронений и оформления заказов 
с октября по апрель         с 9 до 17 часов, 
с мая по сентябрь               с 9 до 18 часов.
Выходной день -              1 января.
",общественное кладбище традиционного способа погребения безвозмездно предоставляются участки земли для погребения
57,Александровское кладбище,"196631,
Санкт-Петербург, пос. Александровская",ПУШКИНСКИЙ,"ООО «ЭНОЗИС»
196603, Санкт-Петербург,                г. Пушкин, ул.Артиллерийская, д.10.
Директор Николаев Юрий Николаевич
",465-30-60,465-30-60,"Кладбища ежедневно открыты для посещений, захоронений и оформления заказов 
с октября по апрель         с 9 до 17 часов, 
с мая по сентябрь               с 9 до 18 часов.
Выходной день -              1 января.
",общественное кладбище смешанного способа погребения безвозмездно предоставляются участки земли для погребения
58,Шушарское кладбище   ,"196626,
Санкт-Петербург, пос. Шушары",ПУШКИНСКИЙ,"ООО «ЭНОЗИС»
196603, Санкт-Петербург,                г. Пушкин, ул.Артиллерийская, д.10.
Директор Николаев Юрий Николаевич
",465-30-60,465-30-60,"Кладбища ежедневно открыты для посещений, захоронений и оформления заказов 
с октября по апрель         с 9 до 17 часов, 
с мая по сентябрь               с 9 до 18 часов.
Выходной день -              1 января.
",общественное кладбище смешанного способа погребения безвозмездно предоставляются участки земли для погребения
59,Покровское кладбище   ,"196620,
Санкт-Петербург, Динамо",ПУШКИНСКИЙ,"ООО «ЭНОЗИС»
196603, Санкт-Петербург,                г. Пушкин, ул.Артиллерийская, д.10.
Директор Николаев Юрий Николаевич
",465-30-60,465-30-60,"Кладбища ежедневно открыты для посещений, захоронений и оформления заказов 
с октября по апрель         с 9 до 17 часов, 
с мая по сентябрь               с 9 до 18 часов.
Выходной день -              1 января.
",общественное кладбище смешанного способа погребения безвозмездно предоставляются участки земли для погребения
60,Воинское кладбище в Московской Славянке,"196626,
Санкт-Петербург, Московская Славянка, Колпинское шоссе",ПУШКИНСКИЙ,"ООО «ЭНОЗИС»
196603, Санкт-Петербург,                г. Пушкин, ул.Артиллерийская, д.10.
Директор Николаев Юрий Николаевич
",465-30-60,465-30-60,"Кладбища ежедневно открыты для посещений, захоронений и оформления заказов 
с октября по апрель         с 9 до 17 часов, 
с мая по сентябрь               с 9 до 18 часов.
Выходной день -              1 января.
",военное мемориальное безвозмездно предоставляются участки земли для погребения
61,"Воинское кладбище ""4-й км Петербургского шоссе""","196626,
Санкт-Петербург, 4-й км Петербургского шоссе",ПУШКИНСКИЙ,"ООО «ЭНОЗИС»
196603, Санкт-Петербург,                г. Пушкин, ул.Артиллерийская, д.10.
Директор Николаев Юрий Николаевич
",465-30-60,465-30-60,"Кладбища ежедневно открыты для посещений, захоронений и оформления заказов 
с октября по апрель         с 9 до 17 часов, 
с мая по сентябрь               с 9 до 18 часов.
Выходной день -              1 января.
",военное мемориальное безвозмездно предоставляются участки земли для погребения
62,"Воинское кладбище ""703-й км Московского шоссе""","196626,
Санкт-Петербург, 703-й км Московского шоссе",ПУШКИНСКИЙ,"ООО «ЭНОЗИС»
196603, Санкт-Петербург,                г. Пушкин, ул.Артиллерийская, д.10.
Директор Николаев Юрий Николаевич
",465-30-60,465-30-60,"Кладбища ежедневно открыты для посещений, захоронений и оформления заказов 
с октября по апрель         с 9 до 17 часов, 
с мая по сентябрь               с 9 до 18 часов.
Выходной день -              1 января.
",военное мемориальное безвозмездно предоставляются участки земли для погребения
63,Воинское кладбище в Кондакопшино,"196632,
Санкт-Петербург, Кондакопшино",ПУШКИНСКИЙ,"ООО «ЭНОЗИС»
196603, Санкт-Петербург,                г. Пушкин, ул.Артиллерийская, д.10.
Директор Николаев Юрий Николаевич
",465-30-60,465-30-60,"Кладбища ежедневно открыты для посещений, захоронений и оформления заказов 
с октября по апрель         с 9 до 17 часов, 
с мая по сентябрь               с 9 до 18 часов.
Выходной день -              1 января.
",военное мемориальное безвозмездно предоставляются участки земли для погребения
64,"Мемориал ""Скорбящая""","196620,
Санкт-Петербург, г. Павловск, Детскосельская ул.",ПУШКИНСКИЙ,"ООО «ЭНОЗИС»
196603, Санкт-Петербург,                г. Пушкин, ул.Артиллерийская, д.10.
Директор Николаев Юрий Николаевич
",465-30-60,465-30-60,"Кладбища ежедневно открыты для посещений, захоронений и оформления заказов 
с октября по апрель         с 9 до 17 часов, 
с мая по сентябрь               с 9 до 18 часов.
Выходной день -              1 января.
",военное мемориальное безвозмездно предоставляются участки земли для погребения
65,Новое Колпинское городское,"196655,
Санкт-Петербург, г.Колпино, Понтонная ул.",КОЛПИНСКИЙ,"ООО «Ритуал»
192007,Санкт-Петербург, ул.Камчатская, д.9.
Генеральный директор Боринов Станислав Анатольевич.
","921-43-66,
921-43-64
","921-43-66,
921-43-64
","Кладбища ежедневно открыты для посещений, захоронений и оформления заказов 
с октября по апрель         с 9 до 17 часов, 
с мая по сентябрь               с 9 до 18 часов.
Выходной день -              1 января.
",общественное кладбище традиционного способа погребения безвозмездно предоставляются участки земли для погребения
66,Колпинское городское,"196655,
Санкт-Петербург, г.Колпино, Колпинская ул.",КОЛПИНСКИЙ,"ООО «Ритуал»
192007,Санкт-Петербург, ул.Камчатская, д.9.
Генеральный директор Боринов Станислав Анатольевич.
","921-43-66,
921-43-64
","921-43-66,
921-43-64
","Кладбища ежедневно открыты для посещений, захоронений и оформления заказов 
с октября по апрель         с 9 до 17 часов, 
с мая по сентябрь               с 9 до 18 часов.
Выходной день -              1 января.
",общественное кладбище традиционного способа погребения безвозмездно предоставляются участки земли для погребения
67,Колпинское воинское,"196657,
Санкт-Петербург, г.Колпино, ул.Веры Слуцкой",КОЛПИНСКИЙ,"ООО «Ритуал»
192007,Санкт-Петербург, ул.Камчатская, д.9.
Генеральный директор Боринов Станислав Анатольевич.
","921-43-66,
921-43-64
","921-43-66,
921-43-64
","Кладбища ежедневно открыты для посещений, захоронений и оформления заказов 
с октября по апрель         с 9 до 17 часов, 
с мая по сентябрь               с 9 до 18 часов.
Выходной день -              1 января.
",военное мемориальное безвозмездно предоставляются участки земли для погребения
68,Балканское воинское,"196652, Санкт-Петербург, г.Колпино, Загородная ул.",КОЛПИНСКИЙ,"ООО «Ритуал»
192007,Санкт-Петербург, ул.Камчатская, д.9.
Генеральный директор Боринов Станислав Анатольевич.
","921-43-66,
921-43-64
","921-43-66,
921-43-64
","Кладбища ежедневно открыты для посещений, захоронений и оформления заказов 
с октября по апрель         с 9 до 17 часов, 
с мая по сентябрь               с 9 до 18 часов.
Выходной день -              1 января.
",военное мемориальное безвозмездно предоставляются участки земли для погребения
69,Петро-Славянка     ,"196642,
Санкт-Петербург, пос.Петро-Славянка, ул.Коммунаров",КОЛПИНСКИЙ,"ООО «Ритуал»
192007,Санкт-Петербург, ул.Камчатская, д.9.
Генеральный директор Боринов Станислав Анатольевич.
","921-43-66,
921-43-64
","921-43-66,
921-43-64
","Кладбища ежедневно открыты для посещений, захоронений и оформления заказов 
с октября по апрель         с 9 до 17 часов, 
с мая по сентябрь               с 9 до 18 часов.
Выходной день -              1 января.
",общественное кладбище смешанного способа погребения безвозмездно предоставляются участки земли для погребения
70,Корчминское воинское,"196643,
Санкт-Петербург, Корчмино",КОЛПИНСКИЙ,"ООО «Ритуал»
192007,Санкт-Петербург, ул.Камчатская, д.9.
Генеральный директор Боринов Станислав Анатольевич.
","921-43-66,
921-43-64
","921-43-66,
921-43-64
","Кладбища ежедневно открыты для посещений, захоронений и оформления заказов 
с октября по апрель         с 9 до 17 часов, 
с мая по сентябрь               с 9 до 18 часов.
Выходной день -              1 января.
",военное мемориальное безвозмездно предоставляются участки земли для погребения
71,Усть-Ижорское      ,"196645,
Санкт Петербург, пос.Усть-Ижора, Верхняя Ижорская ул.",КОЛПИНСКИЙ,"ООО «Ритуал»
192007,Санкт-Петербург, ул.Камчатская, д.9.
Генеральный директор Боринов Станислав Анатольевич.
","921-43-66,
921-43-64
","921-43-66,
921-43-64
","Кладбища ежедневно открыты для посещений, захоронений и оформления заказов 
с октября по апрель         с 9 до 17 часов, 
с мая по сентябрь               с 9 до 18 часов.
Выходной день -              1 января.
",общественное кладбище смешанного способа погребения безвозмездно предоставляются участки земли для погребения
72,Усть-Ижорское воинское ,"196645,
Санкт-Петербург, пос.Усть-Ижора, Шлиссельбургское шоссе",КОЛПИНСКИЙ,"ООО «Ритуал»
192007,Санкт-Петербург, ул.Камчатская, д.9.
Генеральный директор Боринов Станислав Анатольевич.
","921-43-66,
921-43-64
","921-43-66,
921-43-64
","Кладбища ежедневно открыты для посещений, захоронений и оформления заказов 
с октября по апрель         с 9 до 17 часов, 
с мая по сентябрь               с 9 до 18 часов.
Выходной день -              1 января.
",военное мемориальное безвозмездно предоставляются участки земли для погребения
73,Воинское кладбище в пос. Металлострой,"196641,
Санкт-Петербург, пос. Металлстрой, Петрорзаводское шоссе",КОЛПИНСКИЙ,"ООО «Ритуал»
192007,Санкт-Петербург, ул.Камчатская, д.9.
Генеральный директор Боринов Станислав Анатольевич.
","921-43-66,
921-43-64
","921-43-66,
921-43-64
","Кладбища ежедневно открыты для посещений, захоронений и оформления заказов 
с октября по апрель         с 9 до 17 часов, 
с мая по сентябрь               с 9 до 18 часов.
Выходной день -              1 января.
",военное мемориальное безвозмездно предоставляются участки земли для погребения
74,Воинское кладбище впос. Понтонный,"196643,
г.Санкт-Петербург, пос.Понтонный, ул.Судостроителей.",КОЛПИНСКИЙ,"ООО «Ритуал»
192007,Санкт-Петербург, ул.Камчатская, д.9.
Генеральный директор Боринов Станислав Анатольевич.
","921-43-66,
921-43-64
","921-43-66,
921-43-64
","Кладбища ежедневно открыты для посещений, захоронений и оформления заказов 
с октября по апрель         с 9 до 17 часов, 
с мая по сентябрь               с 9 до 18 часов.
Выходной день -              1 января.
",военное мемориальное безвозмездно предоставляются участки земли для погребения
75,Старое городское   ,"198504,
Санкт-Петербург, г.Петродворец,Бабигонская ул.д.5",ПЕТРОДВОРЦОВЫЙ,"ООО «Похоронное бюро Кронштадского района» 197760,Санкт-Петербург, г.Кронштадт, Кронштадское шоссе,д.41, пом. 6-Н.
Генеральный директор Федоров Роман Иванович
","439-05-43,
439-05-38
","439-05-43,
439-05-38
","Кладбища ежедневно открыты для посещений, захоронений и оформления заказов 
с октября по апрель         с 9 до 17 часов, 
с мая по сентябрь               с 9 до 18 часов.
Выходной день -              1 января.
",общественное кладбище смешанного способа погребения безвозмездно предоставляются участки земли для погребения
76,Новое городское    ,"198504,
Санкт-Петербург, г. Петродворец, Бабигонская ул., д.5 ",ПЕТРОДВОРЦОВЫЙ,"ООО «Похоронное бюро Кронштадского района» 197760,Санкт-Петербург, г.Кронштадт, Кронштадское шоссе,д.41, пом. 6-Н.
Генеральный директор Федоров Роман Иванович
","439-05-43,
439-05-38
","439-05-43,
439-05-38
","Кладбища ежедневно открыты для посещений, захоронений и оформления заказов 
с октября по апрель         с 9 до 17 часов, 
с мая по сентябрь               с 9 до 18 часов.
Выходной день -              1 января.
",общественное кладбище традиционного способа погребения безвозмездно предоставляются участки земли для погребения
77,Стрельнинское      ,"198515,
Санкт-Петербург, пос.Стрельня, Сосновая аллея",ПЕТРОДВОРЦОВЫЙ,"ООО «Похоронное бюро Кронштадского района» 197760,Санкт-Петербург, г.Кронштадт, Кронштадское шоссе,д.41, пом. 6-Н.
Генеральный директор Федоров Роман Иванович
","439-05-43,
439-05-38
","439-05-43,
439-05-38
","Кладбища ежедневно открыты для посещений, захоронений и оформления заказов 
с октября по апрель         с 9 до 17 часов, 
с мая по сентябрь               с 9 до 18 часов.
Выходной день -              1 января.
",общественное кладбище смешанного способа погребения безвозмездно предоставляются участки земли для погребения
78,Сергиевское        ,"198515,
Санкт-Петербург, пос.Стрельня, Гражданская ул.",ПЕТРОДВОРЦОВЫЙ,"ООО «Похоронное бюро Кронштадского района» 197760,Санкт-Петербург, г.Кронштадт, Кронштадское шоссе,д.41, пом. 6-Н.
Генеральный директор Федоров Роман Иванович
","439-05-43,
439-05-38
","439-05-43,
439-05-38
","Кладбища ежедневно открыты для посещений, захоронений и оформления заказов 
с октября по апрель         с 9 до 17 часов, 
с мая по сентябрь               с 9 до 18 часов.
Выходной день -              1 января.
",общественное кладбище смешанного способа погребения безвозмездно предоставляются участки земли для погребения
79,Шуваловское        ,"198510,
Санкт-Петербург, Шуваловка,ул.Макарова",ПЕТРОДВОРЦОВЫЙ,"ООО «Похоронное бюро Кронштадского района» 197760,Санкт-Петербург, г.Кронштадт, Кронштадское шоссе,д.41, пом. 6-Н.
Генеральный директор Федоров Роман Иванович
","439-05-43,
439-05-38
","439-05-43,
439-05-38
","Кладбища ежедневно открыты для посещений, захоронений и оформления заказов 
с октября по апрель         с 9 до 17 часов, 
с мая по сентябрь               с 9 до 18 часов.
Выходной день -              1 января.
",общественное кладбище смешанного способа погребения безвозмездно предоставляются участки земли для погребения
80,Илики               ,"188512,
Санкт-Петербург, г.Ломоносов, дорога на кладбище Илики, д.1",ПЕТРОДВОРЦОВЫЙ,"ООО «Похоронное бюро Кронштадского района» 197760,Санкт-Петербург, г.Кронштадт, Кронштадское шоссе,д.41, пом. 6-Н.
Генеральный директор Федоров Роман Иванович
","439-05-43,
439-05-38
","439-05-43,
439-05-38
","Кладбища ежедневно открыты для посещений, захоронений и оформления заказов 
с октября по апрель         с 9 до 17 часов, 
с мая по сентябрь               с 9 до 18 часов.
Выходной день -              1 января.
",общественное кладбище традиционного способа погребения безвозмездно предоставляются участки земли для погребения
81,Мартышкинское      ,"188511,
Санкт-Петербург, г.Ломоносов, Морская ул.д.15",ПЕТРОДВОРЦОВЫЙ,"ООО «Похоронное бюро Кронштадского района» 197760,Санкт-Петербург, г.Кронштадт, Кронштадское шоссе,д.41, пом. 6-Н.
Генеральный директор Федоров Роман Иванович
","439-05-43,
439-05-38
","439-05-43,
439-05-38
","Кладбища ежедневно открыты для посещений, захоронений и оформления заказов 
с октября по апрель         с 9 до 17 часов, 
с мая по сентябрь               с 9 до 18 часов.
Выходной день -              1 января.
",общественное кладбище смешанного способа погребения безвозмездно предоставляются участки земли для погребения
82,Свято-Троицкое     ,"188512,
Санкт-Петербург, г.Ломоносов, Оранжерейная ул.,д.10",ПЕТРОДВОРЦОВЫЙ,"ООО «Похоронное бюро Кронштадского района» 197760,Санкт-Петербург, г.Кронштадт, Кронштадское шоссе,д.41, пом. 6-Н.
Генеральный директор Федоров Роман Иванович
","439-05-43,
439-05-38
","439-05-43,
439-05-38
","Кладбища ежедневно открыты для посещений, захоронений и оформления заказов 
с октября по апрель         с 9 до 17 часов, 
с мая по сентябрь               с 9 до 18 часов.
Выходной день -              1 января.
",общественное кладбище смешанного способа погребения безвозмездно предоставляются участки земли для погребения
83,Троицкое кладбище,"198504,
Санкт-Петербург, город Петродворец,  Ораниенбаумский спуск",ПЕТРОДВОРЦОВЫЙ,"ООО «Похоронное бюро Кронштадского района» 197760,Санкт-Петербург, г.Кронштадт, Кронштадское шоссе,д.41, пом. 6-Н.
Генеральный директор Федоров Роман Иванович
","439-05-43,
439-05-38
","439-05-43,
439-05-38
","Кладбища ежедневно открыты для посещений, захоронений и оформления заказов 
с октября по апрель         с 9 до 17 часов, 
с мая по сентябрь               с 9 до 18 часов.
Выходной день -              1 января.
",общественное кладбище смешанного способа погребения безвозмездно предоставляются участки земли для погребения
84,"Воинское кладбище ""Аллея Гордовцев""","188512,
Санкт-Петербург, г.Ломоносов, Краснофлотское шоссе, д.16",ПЕТРОДВОРЦОВЫЙ,"ООО «Похоронное бюро Кронштадского района» 197760,Санкт-Петербург, г.Кронштадт, Кронштадское шоссе,д.41, пом. 6-Н.
Генеральный директор Федоров Роман Иванович
","439-05-43,
439-05-38
","439-05-43,
439-05-38
","Кладбища ежедневно открыты для посещений, захоронений и оформления заказов 
с октября по апрель         с 9 до 17 часов, 
с мая по сентябрь               с 9 до 18 часов.
Выходной день -              1 января.
",военное мемориальное безвозмездно предоставляются участки земли для погребения
85,"Мемориал ""Приморский""       ","198504,
Санкт-Петербург ,г.Петродворец, развилка дорог Гостилицы-Ломоносов",ПЕТРОДВОРЦОВЫЙ,"ООО «Похоронное бюро Кронштадского района» 197760,Санкт-Петербург, г.Кронштадт, Кронштадское шоссе,д.41, пом. 6-Н.
Генеральный директор Федоров Роман Иванович
","439-05-43,
439-05-38
","439-05-43,
439-05-38
","Кладбища ежедневно открыты для посещений, захоронений и оформления заказов 
с октября по апрель         с 9 до 17 часов, 
с мая по сентябрь               с 9 до 18 часов.
Выходной день -              1 января.
",военное мемориальное безвозмездно предоставляются участки земли для погребения
86,Колумбарий крематория и Поле памяти,"195067,
Санкт-Петербург,
Шафировский пр., д. 12, лит. А",КРАСНОГВАРДЕЙСКИЙ,"СПб ГУП ""Ритуальные услуги""
191036, Санкт-Петербург,
ул. 1-ая Советская, д. 8
Директор Крематория
Худоба Дмитрий Петрович",380-49-30,380-49-30,"Кладбища ежедневно открыты для посещений, захоронений и оформления заказов 
с октября по апрель         с 9 до 17 часов, 
с мая по сентябрь               с 9 до 18 часов.
Выходной день -              1 января.
","общественное кладбище безвозмездно предоставляются участки земли
для погребения, с захоронениями после кремации
"
87,Левашевское мемориальное,"Санкт-Петербург, Горское шоссе, д.143",ВЫБОРГСКИЙ,"СПб ГУП ""Ритуальные услуги""
191036, Санкт-Петербург,
ул. 1-ая Советская, д. 8
Директор Артеменко Валерий Анатольевич",594-95-14,594-95-14,"Кладбища ежедневно открыты для посещений, захоронений и оформления заказов 
с октября по апрель         с 9 до 17 часов, 
с мая по сентябрь               с 9 до 18 часов.
Выходной день -              1 января.
","для погребения, с захоронениями после кремации"
